[CHECKSUM=1:18:1029]
[DATE=2009-11-23 16:09:59]
[ENCODING=ISO-8859-4]

#
#  Language file: English
#  Supplier: www.saurus.info 
#


# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
field required;Field required;Field required;
forgotten password: mail body;You can change this password after the first successful login on the website.;You can change this password in your profile after the first successful login on the website.;
fullname;Name;Name;
Group;Group;Group;
Groups;Groups;Groups;
isikukood;ID-code;ID-code;
Kasutaja_id;User ID;User ID;
Last_access_time;Last access time;Last access time;
Last_ip;Last_ip;Last IP;
Lock;Lock;Lock;
Logi valja;Log out;Log out;
Login;Log in;Log in;
mailinglists;Subscribe to mailinglists;Subscribe to mailinglists;
Mailinglists: e-mail subject;News from [Website name];News from [Website name];
Main info;Main info;Main info;
Muuda oma andmeid;Change your profile;Change your profile;
new_user_registered;New user registered on website!;New user registered on website!;
nupp login;Login;Login;
only for reg users;Only for registered users.;Only for registered users;
On_lukus;Is locked;Is locked;
Parent group;Parent group;Parent group;
Password;Password;Password;
password confirmation;Confirm password;Confirm password;
Password expired message;Your password is expired, enter new password.;Your password is expired, enter new password.;
Password expires;Password expires;Password expires;
Pass_expires;Pass_expires;Password expires;
pass_not_strong;Password must be at least 8 characters long and must contain lower and upper case letters;Password must be at least 8 characters long and must contain lower and upper case letters;
Perekonnanimi;Surname;Surname;
postalcode;Post code;Postal code;
postiaadress;Address;Address;
Profile;Profile;Profile;
Reference_nr;Reference number;Reference number;
Registeeru;Register;Register;
Role;Role;Role;
Roles;Roles;Roles;
Saada;Send;Send;
Session_id;Session ID;Session ID;
Superuser;Superuser;Superuser;
telefon;Phone;Phone;
tere;Hello!;Hello!;
This IP is already in use for user: [user];This IP is already in use for user: [user];This IP is already in use for user: [user];
Tyhista;Cancel;Cancel;
Unlock;Unlock;Unlock;
Unustasid parooli;Forgot your password?;Forgot your password?;
unustatud parool: subject;Subject;Forgotten password;
User;User;Person;
user exists;Username already exists;Username already exists;
user_details;User details;-User details-;
user_registered;User [user] has registered on your website;User [user] has registered on your website;
wrong confirmation;Error in confirmation;Error in confirmation;
wrong email format;Incorrect e-mail format;Incorrect e-mail format;



[admin:12:Admin]
about;About;About;
Actions;Actions;Actions;
Active;Active;Active;
Active Directory;Active Directory;Active Directory;
Additional fields;Additional fields;Additional fields;
add_translation;Add translation;Add translation;
Admin login;Administrators login;Login;
admin_manual;Administrator manual;Administrator manual;
ADR settings;ADR settings;ADR settings;
aliases;Aliases;Aliases;
another one;Another One;Another One;
Application name;Application name;Application;
Are you sure?;Are you sure?;Are you sure?;
attachment;attachment;Attachment;
at_least_one_translation_required;At least one translation is required;At least one translation is required;
auto-jump;Auto-jump;Auto-jump;
Banner manager;Banner manager;Banner manager;
Based on cookies;Based on cookies;Based on cookies;
Based on IP address;Based on IP address;Based on IP address;
Based on User id;Based on User id;Based on user ID;
Built-in templates;Built-in templates;Built-in templates (v3 compatibility);
by_default_templates_replaced_in_all_languages;This set of templates will be applied to all site languages;This set of templates will be applied to all site languages;
cache;Cache;Performance;
cancel;Cancel;Cancel;
Change password;Force to change password on next login;Force to change password on next login;
Children count;Children count;Children count;
class;Class;Class;
Configuration;Configuration;Configuration;
Content Aging;Content Aging;Content Aging;
Content templates;Content templates;Content templates;
content_editing;Content editing;Content editing;
counter;Counter;Counter;
create_glossary;Add glossary;Add glossary;
create_sub_site;Create new site;Create new site;
Custom;Custom;Custom;
Custom assets;Custom assets;Custom assets;
Custom Style Sheet;CSS styles;CSS styles;
data;Data;Data;
data_type;Data type;Data type;
debugging;Debugging;Debugging;
Default;Default;Default;
default_timezone;Default timezone;Default time zone;
default_value;Default value;Default value;
Delete old data;Delete old data;Delete old data;
Design;Visual Design;Visual Design;
Directories;Directories;XML feeds;
Dokumendid;Documents;Documents;
E-Commerce;E-Commerce;E-Commerce;
editor_manual;Editor manual;Editor manual;
Element_name;Element_name;Element name;
Element_path;Element_path;Element path;
Email;Email;E-mail;
Empty;Empty;Empty;
Error log;Error Log;Error Log;
ERROR: File upload error;File upload error!!!;File upload error!!!;
ERROR: Language-file corrupted;Language-file corrupted!;Language file corrupted!;
ERROR: There is invalid language in lang-file;ERROR: There is invalid language in lang-file!;ERROR: Language in file doesn't match with selected language on this page!;
error_notifications;Error notifications;Error notifications;
estcard_payment;Credit Cards (ESTCARD);Credit Cards (ESTCARD);
explorer;Site Explorer;Site explorer;
Export;Export;Export;
export_glossary;Export glossary;Export glossary;
Extensions;Extensions;Extensions;
extension_upload;Upload extension;Upload extension;
extension_upload_error;Error occured in extension upload;Error occured in extension upload;
external tables;External tables;External tables;
e_payment;Bank payments;Bank payments;
favorites;Favorites;Favorites;
feedbackforms_properties;Feedback forms;Feedback form defaults;
feedback_forms;Feedback forms;Feedback forms;
feedback_from_email;From;From;
feedback_type_bug;Bug;Bug;
feedback_type_feature;Feature request;Feature request;
feedback_type_other;Other;Other;
Fields;Fields;Fields;
file manager;File manager;File manager;
filemanager;Files;Files;
files;Files;Files;
file_dir;File/Dir;File/Dir;
file_list;List;List;
folders;Folders;Folders;
footer;Footer;Footer;
Form;Form;Form;
form_messages;Feedback form messages;Feedback form messages;
forums_and_comments;Forums and comments;Comments and forum postings;
found;Found;Found;
from_email;from email;From email;
gallery;Gallery;Gallery;
Gallup;Gallup;Poll;
Get values from;Get values from;Get values from;
Glossary export;Glossary export;Glossary export;
Glossary import;Glossary import;Glossary import;
glossary_changed;glossary changed;glossary changed;
glossary_created;glossary created;glossary created;
glossary_delete;Delete glossary;Delete glossary;
glossary_delete_confirm;Are you sure you want to delete glossary;Are you sure you want to delete glossary;
glossary_edit;Edit glossary;Edit glossary;
glossary_exists;Glossary already exists;Glossary already exists;
glossary_is_used_by;glossary is used by;glossary is used by;
glossary_name_and_encoding_required;Glossary name and encoding are required;Glossary name and encoding are required;
glossary_removed;glossary removed;glossary removed;
glossary_translation_deleted;Translation deleted;Translation deleted;
glossary_translation_delete_confirm;Are you sure you want to delete translation;Are you sure you want to delete translation;
glossary_translation_exists;Translation already exists;Translation already exists;
hanza_payment;Hansabank;Hansabank;
help;Help;Help;
help_topics;Help topics;Help topics;
Hidden;Hidden;Hidden;
html_format;html format;HTML;
Image manipulation;Image manipulation;Image manipulation;
image_resizing;Image resizing;Image resizing;
Import;Import;Import;
import_glossary;Import glossary;Import glossary;
input_type;Input type;Input type;
Integration;Integration;Integration;
IP filter;IP filter;IP filter;
IP Filter: Kasutusel avalikus veebis;Enable for public site;Enable for public site;
IP filter: Kasutusel toimetaja keskkonnas;Enable for content creation;Enable for content creation;
IP Filter: Keela koik, valja arvatud;Deny all, except;Deny all, except;
IP Filter: Luba autoriseeritud kasutajaid;Allow authorized users;Allow authorized users;
IP Filter: Luba koik, valja arvatud;Allow all, except;Allow all, except;
krep_payment;Eesti Krediidipank;Eesti Krediidipank;
Lang-file import finished successfully;Lang-file import finished successfully!;Content of language file imported into dictionary;
Language;Language;Language;
Language file;Language file;Language file;
Languages;Languages;Sites;
LDAP;LDAP;LDAP;
LDAP_Andmeseosed;LDAP_Andmeseosed;LDAP_Andmeseosed;
LDAP_elements;LDAP_elements;LDAP element;
LDAP_Server_config;LDAP_Server_config;LDAP Server config;
License;License;License;
Link verifier;Link verifier;Link verifier;
List;List;List;
Locale;Locale;Locale;
Log;Log;Site Log;
logging;Logging;Logging;
Login;Login;Login;
Login URL;Login URL;Login URL;
mailinglist_format;Mailinglist format;Mailinglist format;
mailing_list;Mailing list;Mailing lists;
mails_has_been_sent;mails_has_been_sent;mails have been sent;
mail_has_been_sent;mail_has_been_sent;mail has been sent!;
main_sections;Main sections;Main sections;
Mapped sections;Mapped sections;Mapped sections;
Mapping;Data mapping;XML data mapping;
map_to;Field in CMS database;Field in CMS database;
Master_templates;Master templates;Master templates;
Maximum logins error;You have exceeded the maximum number of login attempts. You will have to wait for [minutes] minutes before you can attempt to login again.;You have exceeded the maximum number of login attempts. You will have to wait for [minutes] minutes before you can attempt to login again.;
meta-info;Meta-info;Meta-info;
missing;missing;missing;
move_files;Move;Move;
msg: Language file uploaded;msg: Language file uploaded;Keeltefail üleslaaditud;
my_account;My account;My account;
name;Name;Name;
nordea_payment;Nordea Pank;Nordea Bank;
NTLM;NTLM;NTLM;
Nupp: Edasi;Button: Continue;Continue;
Nupp: Request downloading from supplier;Button: Request downloading from supplier;Download from Saurus homepage;
object_templates;Object templates;Object templates;
oi_format;Output/Input format;Output/Input format;
ok;OK;OK;
Orders;Orders;Orders;
Organization;Organization;Organization;
Original string;Original system string;Translation in product;
overview;Overview;Overview;
overwrite;Overwrite existing data;Overwrite existing data;
Overwrite custom translations;Overwrite custom translations;Overwrite custom translations;
overwrite_file;Are you sure you want to overwrite existing file?;Are you sure you want to overwrite existing file?;
Page templates;Page templates;Page templates;
page_end_html;Page-end HTML;Google Analytics JavaScript;
Passwd fieldname;Password fieldname;Password fieldname;
Password;Password;Password;
People;People;People;
Permissions;Permissions;Permissions;
plain_text;plain text;Plain text;
please_fill_in_the_title!;Please fill in the title!;Please fill in the title!;
presentation;Presentation;Presentation;
Privileegid;Privileges;Privileges;
products;Products;Products;
product_category;Product category;Product category;
product_manufacturer;Product manufacturer;Product manufacturer;
product_profiles;Product profiles;Product profiles;
profile definition;Profile Definition;Profile Definition;
Profiles;Profiles;Profiles;
profile_data;Data;Data;
Properties;Properties;Properties;
protocol;Protocol;Protocol;
proxy;Proxy for outgoing connection;Proxy for outgoing connection;
Recievers;Recievers;Recievers;
Recycle Bin is empty;Recycle Bin is empty;Recycle Bin is empty;
recycle_bin;Recycle Bin;Recycle bin;
Refresh;Refresh;Refresh;
replication;Replication;Replication;
Report a bug;Report a bug;Report a bug;
Request method;Request method;Request method;
reset;Reset;Reset;
Resources;Resources;Resources;
Return_fields;Return_fields;Returned fields;
Rubriigi alampuu;Subtree of section;Subtree of section;
Salasonad ei ole uhesugused;Passwords do not match;Passwords do not match;
Sample adminpage;Sample adminpage;Sample adminpage;
sampo_payment;Sampo;Sampo Bank;
saurus_cms_homepage;Saurus CMS homepage;Saurus CMS homepage;
save;Save;Save;
scope;Scope;Scope;
search & replace;Search & Replace;Search & replace;
second one;Second One;Second One;
Send your feedback;Send your feedback;Send your feedback;
session_and_timeouts;Session and timeouts;Session and limits;
shop_cart;Shopping cart;Shopping cart;
Site CSS styles;Site CSS styles;Site CSS styles;
sites_delete_confirm;Are you sure you want to delete site;Are you sure you want to delete site;
site_changed;site changed;site changed;
site_created;site created;site created;
site_delete;Delete site;Delete site;
site_deleted;site deleted;site deleted;
site_design;Site design;Site design;
site_extension_must_be_unique;Site extension must be unique;Site extension must be unique;
site_name;Site name;Site name;
site_name_extension_encoding_glossary_required;Name, extension, encoding and glossary are required;Name, extension, encoding and glossary are required;
site_objects_will_be_deleted;objects will be permanently deleted;objects will be permanently deleted;
Site_properties;Site Properties;Site properties;
Site_styles;Site Styles;Site Styles;
slogan;Slogan;Slogan;
Spam;Spam;Spam;
sso_applications;SSO applications;SSO applications;
Static Content Export;Static Content Export;Static Content Export;
Statistics;Statistics;Statistics;
Status;Status;Status;
Styles;Styles;Styles;
subject_line;subject line;Subject;
System;System;System;
system info;System info;System info;
System_articles;System Articles;Site settings;
system_messages;System messages;System messages;
Tagasisidevormid;Tagasisidevormid;Tagasisidevormid;
Target site actions;Target site actions;Target site actions;
Templates;Templates;Templates;
Test it;Test it;Test it;
Text_styles;Text Styles;Text Styles;
Thank you for your feedback;Thank you for your feedback;Thank you for your feedback;
thumbnail_view;Thumbnails;Thumbnails;
timezone;Timezone;Time zone;
time_interval;Time interval;Time interval;
Toimetaja keskond IP filter valja lulitatud;You can not disable your own IP-address! Filtering disabled.;You can not disable your own IP-address! Filtering disabled.;
Tolkimine;Translations;Translation;
tools;Tools;Tools;
total items;Total;Total;
Translations;Glossary;Glossary;
translation_word_is_required;Translation word is required;System string is required;
Type;Type;Type;
Type your feedback here;Type your feedback here;Type your feedback here;
Unauthorized access;Unauthorized access;Unauthorized access;
upload;Upload;Upload;
Upload new file;Upload new file;Upload new file;
upos_payment;SEB Eesti Ühispank;SEB Eesti Ühispank;
User fieldname;Username fieldname;Username fieldname;
Username;Username;Username;
Users;Users;New users;
users_login;Sisse logimine;User login;
user_defined_messages;User defined messages;User defined messages;
Vali;Vali;Choose;
view;View;View;
Visible in section editor;Visible in section editor;Visible in section editor;
warning;Warning;Warning;
website_properties;Website properties;Website properties;
when;When;When;
who;Who;Who;
WYSIWYG Fonts;Styles in article editor dropdown;Styles in article editor dropdown;
WYSIWYG General;Styles used only by article editor;Styles used only by article editor;
XML;XML;XML;



[e_commerce:17:E-Commerce]
amount;Amount;Amount;
cart;Cart;Cart;
cart delete confirmation;Delete this shoppingcart?;Delete this shoppingcart?;
cart_data;Cart content;Cart content;
cart_id;Cart ID;Cart ID;
category;Category;Category;
code;Code;Code;
description;Description;Description;
image;Image;Image;
manufacturer;Manufacturer;Manufacturer;
order;Order;Order;
Order nr;Order nr;Nr;
orders;Orders;Orders;
order_date;Date;Date;
payment_status;Payment status;Payment status;
payment_type;Payment type;Payment type;
price;Price;Price;
Product;Product;Product;
status;Status;Status;
thubmnail;Thubmnail;Thumbnail;
total;Total;Total;
transport;Transport;Transport;
user_data;Client info;Client info;
VAT;VAT;VAT;



[sapi:19:Saurus API]
Clear cache;Clear cache;Clear cache;



[xml:20:XML]
add date and time info to filename;add date and time info to filename;add date and time info to filename;
CMS objects from Sections;CMS objects from Sections;CMS objects from Sections;
