[CHECKSUM=0:18:1029]
[DATE=2009-11-23 16:10:13]
[ENCODING=UTF-8]

#
#  Language file: Estonian
#  Supplier: www.saurus.info 
#  

# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
Pealkiri;Headline;Pealkiri;
sub_documents;Sub-documents;Alamdokumendid;
Suurus;Size;Suurus;
type;Type;Tüüp;



[kalender:5:Calendar]
clear;clear;puhasta;
close;close;sulge;
Daily;Daily;Päeva kaupa;
Date;Date;Kuupäev;
Day;Day;Päev;
Hour;Hour;Tund;
Hourly;Hourly;Tunni kaupa;
Month;Month;Kuu;
month1;January;jaanuar;
month10;October;oktoober;
month11;November;november;
month12;December;detsember;
month2;February;veebruar;
month3;March;märts;
month4;April;aprill;
month5;May;mai;
month6;June;juuni;
month7;July;juuli;
month8;August;august;
month9;September;september;
Monthly;Monthly;Igakuiselt;
next;»;»;
previous;«;«;
today;today;täna;
week;week;nädal;
weekday1;Mon;E;
weekday1_long;Monday;esmaspäev;
weekday2;Tue;T;
weekday2_long;Tuesday;teisipäev;
weekday3;Wed;K;
weekday3_long;Wednesday;kolmapäev;
weekday4;Thu;N;
weekday4_long;Thursday;neljapäev;
weekday5;Fri;R;
weekday5_long;Friday;reede;
weekday6;Sat;L;
weekday6_long;Saturday;laupäev;
weekday7;Sun;P;
weekday7_long;Sunday;pühapäev;
Weekly;Weekly;Igal nädal;
whole month;whole month;kogu kuu;
whole_day;Whole day;Kogu päev;
Year;Year;Aasta;
yearly;Yearly;Iga aasta;



[otsing:7:Search]
Ei sisalda sonu;Doesn't include words;Ei sisalda sõnu;
Eile;Yesterday;Eile;
Koiki sonu;All words;Kõiki sõnu;
Lipik Album;Albums;Galeriid;
Lipik Artikkel;Articles;Artiklid;
Lipik Asset;Other;Muud;
Lipik Dokument;Documents;Dokumendid;
Lipik Event;Events;Sündmused;
Lipik Kommentaar;Comments;Kommentaarid;
Lipik Link;Links;Lingid;
Lipik Pilt;Images;Pildid;
Lipik product_category;Products;Tooted;
Lipik Rubriik;Sections;Rubriigid;
Lipik Valine link;Links;Lingid;
Millal iganes;Whenever;Millal iganes;
Otsi;Search;Otsi;
Otsingutulemused;Search results;Otsingutulemused;
Otsi_rubriigist;Search section;Otsi rubriigist;
Pealkirja jargi;By subject;Pealkirja järgi;
Search subtree;Search subtree;Otsi alampuust;
Search_category;Search category;Otsi kategooriast;
search_unused_files;Files not linked from articles;Artiklites viitamata failid;
Sorteeri;Sort;Sorteeri;
Tappisotsing;Advanced search;Täppisotsing;
Tapset fraasi;Exact phrase;Täpset fraasi;
Tulemusi;Results;Tulemusi;
Uuemad enne;Newest first;Uuemad enne;
Viimane 1 kuu;Last month;Viimane 1 kuu;
Viimane aasta;Last year;Viimane aasta;
Viimane nadal;Last week;Viimane nädal;
Viimased 3 kuud;Last 3 months;Viimased 3 kuud;
Viimased 6 kuud;Last 6 months;Viimased 6 kuud;
Viimati muudetud;Last changes;Viimati muudetud;
Votmesona;Keyword;Võtmesõna;
yhte sonadest;One of the words;Ühte sõnadest;



[kujundus:9:Visual design]
Add;Add;Lisa;
Arhiiv;Archive;Arhiiv;
Artiklil on;This article has;Sellel artiklil on;
Comments: Login required;You must login before adding comments;Kommenteerimiseks pead sisse logima;
Forum alert: Enter your name!;Forum alert: Enter your name!;Täitke oma nimi!;
Forum alert: Please fill in the message body!;Forum alert: Please fill in the message body!;Täitke tekst!;
Forum alert: Please fill in the subject!;Forum alert: Please fill in the subject!;Täitke pealkiri!;
Gallup;Poll;Gallup;
Gallup Arhiiv;Poll's archive;Arhiiv;
haaleta;Vote;Hääleta;
Kaart;Sitemap;Sisukaart;
Kommentaarid;Comments;Kommentaarid;
Lehekulg;Page;Lehekülg;
Loe edasi;More;Loe veel;
Login;Login;Login;
Logout;Logout;Logi välja;
navbar;Location;asud siin:;
next;Next;järgmised;
or;or;või;
Otsing;Search;Otsing;
Pildil_on;This picture has;Sellel pildil on;
poll_results;Results;Tulemused;
poll_voters;Voters list;Hääletajad;
previous;Previous;eelmised;
Print;Print;Print;
Profile;Profile;Profile;
Registreerimisvorm;Register;Registreerimisvorm;
SSO turned off;The SSO module is turned off.;SSO moodul on välja lülitatud.;
Tagasi;Back;Tagasi;
Tagasi artikli juurde;Back to the article;Tagasi artikli juurde;
Taitke nimi;Enter your name!;Sisestage oma nimi!;
Taitke tekst;Enter text!;Sisestage tekst!;
Tappisotsing;Advanced search;Täppisotsing;
Unustatud parooli saatmine;Forgot password?;Unustatud parooli saatmine;
Vaata lisaks;See also;Vaata lisaks;
Vasta;Reply;Vasta;
vastajaid;Responses;Vastajaid;
Viga;Error;Viga;



[kasutaja:11:Users]
Account;Account;Ligipääs;
Account_nr;Account number;Kontonumber;
Additional info;Additional info;Lisainfo;
Aeg;Time;Aeg;
Allow autologin from IP;Allow autologin from IP;Logi sisse kui IP aadress on;
Applications login info;Applications login information;Rakendused;
auth_type;Authentication;Autentimine;
Autologin_ip;Autologin_ip;Autologin IP;
City;City;Linn;
Contactperson;Contactperson;Kontaktisik;
Contact_phone;Contact Phone;Telefon;
Country;Country;Riik;
Delivery_address;Delivery Address;Tarneaadress;
Delivery_city;Delivery City;Linn;
Delivery_country;Delivery Country;Riik;
Delivery_zip;Delivery Zip;Indeks;
Eesnimi;Name;Eesnimi;
Email;Email;E-post;
Email already exists;e-mail already exists;Selline e-maili aadress on juba olemas;
email not found;E-mail not found;E-posti aadressi ei leitud;
field required;Field required;Palun täida väli;
forgotten password: mail body;You can change this password after the first successful login on the website.;Parooli saab vahetada oma kasutajaprofiilis pärast esimest edukat sisselogimist veebisaidis.;
fullname;Name;Nimi;
Group;Group;Grupp;
Groups;Groups;Grupid;
isikukood;ID-code;Isikukood;
Kasutaja_id;User ID;Kasutaja ID;
Last_access_time;Last access time;Viimane login;
Last_ip;Last_ip;Viimane IP;
Lock;Lock;Lukusta;
Logi valja;Log out;Logi välja;
Login;Log in;Kasutajanimi;
mailinglists;Subscribe to mailinglists;Uudiste teemad;
Mailinglists: e-mail subject;News from [Website name];[Website name] uudised;
Main info;Main info;Põhiandmed;
Muuda oma andmeid;Change your profile;Muuda oma andmeid;
new_user_registered;New user registered on website!;Uus kasutaja registreeritud!;
nupp login;Login;Edasi;
only for reg users;Only for registered users.;Ainult registreeritud kasutajatele;
On_lukus;Is locked;On lukus;
Parent group;Parent group;Kuulub gruppi;
Password;Password;Parool;
password confirmation;Confirm password;Parool uuesti;
Password expired message;Your password is expired, enter new password.;Sinu parool on aegunud, sisesta uus parool.;
Password expires;Password expires;Parool kehtib kuni;
Pass_expires;Pass_expires;Parool aegub;
pass_not_strong;Password must be at least 8 characters long and must contain lower and upper case letters;Parool peab olema vähemalt 8 märki pikk ja sisaldama nii suur kui väike tähti;
Perekonnanimi;Surname;Perekonnanimi;
postalcode;Post code;Postiindeks;
postiaadress;Address;Postiaadress;
Profile;Profile;Profile;
Reference_nr;Reference number;Viitenumber;
Registeeru;Register;Registreeru;
Role;Role;Roll;
Roles;Roles;Rollid;
Saada;Send;Saada;
Session_id;Session ID;Session_id;
Superuser;Superuser;Superuser;
telefon;Phone;Telefon;
tere;Hello!;Kasutaja;
This IP is already in use for user: [user];This IP is already in use for user: [user];See IP aadress on juba registreeritud kasutajale: [user];
Tyhista;Cancel;Tühista;
Unlock;Unlock;Ava;
Unustasid parooli;Forgot your password?;Unustasid parooli?;
unustatud parool: subject;Subject;Parooli meeldetuletus;
User;User;Inimene;
user exists;Username already exists;Selline kasutajanimi on juba olemas;
user_details;User details;-Kasutaja info-;
user_registered;User [user] has registered on your website;Kasutaja [user] registreeris end veebisaidis;
wrong confirmation;Error in confirmation;Paroolid ei ole identsed;
wrong email format;Incorrect e-mail format;Vale e-posti aadressi formaat!;



[admin:12:Admin]
about;About;Info;
Actions;Actions;Tegevused;
Active;Active;Aktiivne;
Active Directory;Active Directory;Active Directory;
Additional fields;Additional fields;Lisaväljad;
add_translation;Add translation;Lisa tõlge;
Admin login;Administrators login;Login;
admin_manual;Administrator manual;Administraatori kasutajajuhend;
ADR settings;ADR settings;;
aliases;Aliases;Aliased;
another one;Another One;;
Application name;Application name;Rakendus;
Are you sure?;Are you sure?;Oled kindel?;
attachment;attachment;Manus;
at_least_one_translation_required;At least one translation is required;Vähemalt üks tõlge on kohustuslik;
auto-jump;Auto-jump;Auto-jump;
Banner manager;Banner manager;;
Based on cookies;Based on cookies;Cookie-põhine;
Based on IP address;Based on IP address;IP-põhine;
Based on User id;Based on User id;Kasutaja ID põhine;
Built-in templates;Built-in templates;Sisse-ehitatud mallid (v3 ühilduvus);
by_default_templates_replaced_in_all_languages;This set of templates will be applied to all site languages;See komplekt malle omistatakse kõigile saidi keeltele;
cache;Cache;Jõudlus;
cancel;Cancel;Tühista;
Change password;Force to change password on next login;Nõua järgmisel sisselogimisel paroolivahetust;
Children count;Children count;Alluvate arv;
class;Class;Klass;
Configuration;Configuration;Konfiguratsioon;
Content Aging;Content Aging;;
